trp,"speed_range",Count
30807V804741,"from:15,to:300",65384
39245V319652,"from:0,to:15",1065
39245V319652,"from:15,to:300",64239
73840V2041694,"from:0,to:15",2554
73840V2041694,"from:15,to:300",62273
66346V625214,"from:0,to:15",363
66346V625214,"from:15,to:300",64421
98239V443468,"from:0,to:15",2335
98239V443468,"from:15,to:300",62335
80226V319918,"from:0,to:15",22
80226V319918,"from:15,to:300",64638
56658V804775,"from:0,to:15",200
56658V804775,"from:15,to:300",64381
07511V704747,"from:0,to:15",1456
07511V704747,"from:15,to:300",62986
00000V1993681,"from:0,to:15",1
00000V1993681,"from:15,to:300",64337
15862V72153,"from:0,to:15",0
15862V72153,"from:15,to:300",64337
99781V2303021,"from:0,to:15",74
99781V2303021,"from:15,to:300",64015
02989V1672074,"from:0,to:15",2313
02989V1672074,"from:15,to:300",61756
06750V2429605,"from:0,to:15",1600
06750V2429605,"from:15,to:300",62306
77288V704562,"from:0,to:15",6
77288V704562,"from:15,to:300",63535
73689V319876,"from:0,to:15",137
73689V319876,"from:15,to:300",63143
44313V21780,"from:0,to:15",411
44313V21780,"from:15,to:300",62856
17323V1205810,"from:0,to:15",172
17323V1205810,"from:15,to:300",63075
40729V578598,"from:0,to:15",5
40729V578598,"from:15,to:300",63198
92102V319885,"from:0,to:15",858
92102V319885,"from:15,to:300",62209
30937V444231,"from:0,to:15",5
30937V444231,"from:15,to:300",62990
16074V319868,"from:0,to:15",162
16074V319868,"from:15,to:300",62777
14213V521376,"from:0,to:15",7
14213V521376,"from:15,to:300",62921
54577V319746,"from:0,to:15",34
54577V319746,"from:15,to:300",62798
98144V2554057,"from:0,to:15",0
98144V2554057,"from:15,to:300",62409
63730V443521,"from:0,to:15",50
63730V443521,"from:15,to:300",62339
31043V971805,"from:0,to:15",39
31043V971805,"from:15,to:300",62334
78401V1175838,"from:0,to:15",7
78401V1175838,"from:15,to:300",61998
63779V443654,"from:0,to:15",1169
63779V443654,"from:15,to:300",60829
93526V805122,"from:0,to:15",7
93526V805122,"from:15,to:300",61801
93617V444043,"from:0,to:15",548
93617V444043,"from:15,to:300",61203
87303V704614,"from:0,to:15",74
87303V704614,"from:15,to:300",61634
93210V444230,"from:0,to:15",8
93210V444230,"from:15,to:300",61675
61841V578063,"from:0,to:15",1195
61841V578063,"from:15,to:300",60399
41379V1201935,"from:0,to:15",9
41379V1201935,"from:15,to:300",61522
28955V704576,"from:0,to:15",7
28955V704576,"from:15,to:300",61417
01676V41944,"from:0,to:15",2154
01676V41944,"from:15,to:300",59091
52576V1126026,"from:0,to:15",5100
52576V1126026,"from:15,to:300",56125
55507V319881,"from:0,to:15",44
55507V319881,"from:15,to:300",61144
79492V521118,"from:0,to:15",784
79492V521118,"from:15,to:300",60397
63432V319869,"from:0,to:15",76
63432V319869,"from:15,to:300",61077
49950V319650,"from:0,to:15",39
49950V319650,"from:15,to:300",60897
21778V1175852,"from:0,to:15",332
21778V1175852,"from:15,to:300",60596
97126V1993682,"from:0,to:15",2
97126V1993682,"from:15,to:300",60895
15322V384480,"from:0,to:15",325
15322V384480,"from:15,to:300",60560
06443V21826,"from:0,to:15",1100
06443V21826,"from:15,to:300",59458
50000V1715090,"from:0,to:15",575
50000V1715090,"from:15,to:300",59964
62639V2268190,"from:0,to:15",1314
62639V2268190,"from:15,to:300",59225
64745V443652,"from:0,to:15",5810
64745V443652,"from:15,to:300",54602
40330V249527,"from:0,to:15",336
40330V249527,"from:15,to:300",59905
91512V248948,"from:0,to:15",457
91512V248948,"from:15,to:300",59541
71319V320685,"from:0,to:15",1366
71319V320685,"from:15,to:300",58614
24732V885127,"from:0,to:15",107
24732V885127,"from:15,to:300",59726
11531V320190,"from:0,to:15",1207
11531V320190,"from:15,to:300",58614
61487V319872,"from:0,to:15",200
61487V319872,"from:15,to:300",59304
64557V625518,"from:0,to:15",6287
64557V625518,"from:15,to:300",53115
72355V444049,"from:0,to:15",494
72355V444049,"from:15,to:300",58892
68392V2574613,"from:0,to:15",127
68392V2574613,"from:15,to:300",59075
03990V319811,"from:0,to:15",788
03990V319811,"from:15,to:300",58389
22504V72241,"from:0,to:15",2
22504V72241,"from:15,to:300",59142
26251V521181,"from:0,to:15",262
26251V521181,"from:15,to:300",58778
08372V2744463,"from:0,to:15",137
08372V2744463,"from:15,to:300",58668
51809V443636,"from:0,to:15",9
51809V443636,"from:15,to:300",58613
77022V72359,"from:0,to:15",16
77022V72359,"from:15,to:300",58566
88624V521109,"from:0,to:15",830
88624V521109,"from:15,to:300",57654
13322V443660,"from:0,to:15",17
13322V443660,"from:15,to:300",58400
52030V443626,"from:0,to:15",674
52030V443626,"from:15,to:300",57734
35799V319713,"from:0,to:15",14
35799V319713,"from:15,to:300",58342
66711V384480,"from:0,to:15",438
66711V384480,"from:15,to:300",57918
15511V805138,"from:0,to:15",3368
15511V805138,"from:15,to:300",54853
72753V1896595,"from:0,to:15",0
72753V1896595,"from:15,to:300",58213
60041V443428,"from:0,to:15",1
60041V443428,"from:15,to:300",58195
88604V443293,"from:0,to:15",0
88604V443293,"from:15,to:300",58170
81885V2574569,"from:0,to:15",32
81885V2574569,"from:15,to:300",58113
12135V1126309,"from:0,to:15",70
12135V1126309,"from:15,to:300",57692
76848V249075,"from:0,to:15",1105
76848V249075,"from:15,to:300",56643
